county_fips,state_name,county,population,ALAND_SQMI,pop_density
39143,Ohio,Sandusky,58770,408.246,143.95731985126616
23017,Maine,Oxford,58728,2076.957,28.275982603395256
54037,West Virginia,Jefferson,58546,209.296,279.7282317865607
39077,Ohio,Huron,58412,492.243,118.66496831849311
32510,Nevada,Carson City,58364,144.534,403.80810051614156
13129,Georgia,Gordon,58336,356.443,163.66151109714596
55021,Wisconsin,Columbia,58322,765.6,76.17816091954023
21209,Kentucky,Scott,58269,282.194,206.48560919084034
28087,Mississippi,Lowndes,58187,505.448,115.11965622576407
50027,Vermont,Windsor,57968,969.144,59.813608710367085
36037,New York,Genesee,57943,492.976,117.53716205251371
48001,Texas,Anderson,57825,1062.617,54.41753708062265
48323,Texas,Maverick,57770,1279.476,45.151296311927695
01033,Alabama,Colbert,57648,592.953,97.22187087340818
21195,Kentucky,Pike,57466,786.222,73.09131517561198
47073,Tennessee,Hawkins,57446,487.056,117.94536973161198
27025,Minnesota,Chisago,57434,414.9,138.4285369968667
39087,Ohio,Lawrence,57385,453.393,126.56790025430477
54079,West Virginia,Putnam,57250,345.679,165.61607734343136
22001,Louisiana,Acadia,57218,655.244,87.32319563399282
48199,Texas,Hardin,57126,890.576,64.1450027847146
22113,Louisiana,Vermilion,57031,1172.055,48.65897931411068
47105,Tennessee,Loudon,56996,229.272,248.59555462507416
28071,Mississippi,Lafayette,56920,631.697,90.10649092840397
28109,Mississippi,Pearl River,56781,811.319,69.98603508607589
47019,Tennessee,Carter,56462,341.258,165.45253151574468
29213,Missouri,Taney,56382,632.263,89.17491613458323
45021,South Carolina,Cherokee,56299,392.964,143.2675766736902
08067,Colorado,La Plata,56088,1689.682,33.19441172954438
23009,Maine,Hancock,56084,1587.128,35.33678443074535
54049,West Virginia,Marion,56042,308.785,181.49197661803518
13039,Georgia,Camden,56036,630.272,88.90764622258325
40051,Oklahoma,Grady,55868,1100.54,50.764170316390135
47089,Tennessee,Jefferson,55835,275.152,202.9242018956795
51031,Virginia,Campbell,55398,503.207,110.08988348731238
08037,Colorado,Eagle,55374,1684.47,32.87324796523536
47043,Tennessee,Dickson,55197,489.899,112.67016262535748
17195,Illinois,Whiteside,55192,684.099,80.67838134539006
51067,Virginia,Franklin,54958,690.61,79.57892298113262
37107,North Carolina,Lenoir,54917,399.087,137.6065870349072
06109,California,Tuolumne,54873,2220.911,24.707428618256202
39147,Ohio,Seneca,54861,551.026,99.56154519024511
37189,North Carolina,Watauga,54607,312.44,174.77595698374088
47145,Tennessee,Roane,54403,360.768,150.79774259357816
29101,Missouri,Johnson,54331,829.261,65.51737028510928
01031,Alabama,Coffee,54231,678.986,79.8705717054549
47107,Tennessee,McMinn,54135,430.117,125.86110290920841
51191,Virginia,Washington,53913,561.193,96.06855395559104
32007,Nevada,Elko,53852,17173.302,3.1357976468357687
29169,Missouri,Pulaski,53850,547.112,98.42591644855167
20169,Kansas,Saline,53801,720.246,74.69808926394593
21113,Kentucky,Jessamine,53792,172.112,312.5406711908525
48349,Texas,Navarro,53735,1009.702,53.218672439987245
04007,Arizona,Gila,53610,4757.578,11.268338637853125
16065,Idaho,Madison,53578,469.267,114.17380723553968
51047,Virginia,Culpeper,53563,379.182,141.2593424793371
19181,Iowa,Warren,53484,569.658,93.88791169438505
17007,Illinois,Boone,53316,280.741,189.9116979707275
24047,Maryland,Worcester,53279,468.402,113.7463119286425
32023,Nevada,Nye,53207,18181.914,2.9263695780323236
41009,Oregon,Columbia,53178,658.684,80.73370538831975
48265,Texas,Kerr,53166,1103.332,48.18676518038088
37093,North Carolina,Hoke,53102,390.153,136.10557909333005
26157,Michigan,Tuscola,53071,804.84,65.93981412454649
17063,Illinois,Grundy,52920,418.128,126.5641143381931
40147,Oklahoma,Washington,52895,415.524,127.29709956584938
01071,Alabama,Jackson,52839,1078.015,49.01508791621637
36035,New York,Fulton,52787,495.46,106.54139587454084
17077,Illinois,Jackson,52706,583.57,90.31650016279109
55015,Wisconsin,Calumet,52626,318.25,165.3605655930872
48401,Texas,Rusk,52613,924.199,56.92821567649392
48325,Texas,Medina,52419,1325.361,39.55073372462295
39005,Ohio,Ashland,52296,422.986,123.63529762214353
22089,Louisiana,St. Charles,51863,277.742,186.73085093360024
48373,Texas,Polk,51780,1057.045,48.9856155603593
55135,Wisconsin,Waupaca,51714,747.702,69.16391824550422
55043,Wisconsin,Grant,51678,1146.877,45.05975793393712
39037,Ohio,Darke,51655,598.102,86.36486753095626
26027,Michigan,Cass,51606,490.108,105.29515943424714
21073,Kentucky,Franklin,51563,207.909,248.00754176105895
22099,Louisiana,St. Martin,51559,737.47,69.91335240755556
17141,Illinois,Ogle,51536,758.654,67.93083540059105
48493,Texas,Wilson,51501,803.734,64.07716980991223
51660,Virginia,Harrisonburg,51492,17.336,2970.2353484079376
28105,Mississippi,Oktibbeha,51473,458.239,112.32784638583796
47003,Tennessee,Bedford,51291,473.639,108.29133580638418
33003,New Hampshire,Carroll,51259,931.864,55.00695380441781
42127,Pennsylvania,Wayne,51189,725.769,70.5307060510989
48073,Texas,Cherokee,51143,1052.955,48.57092658280744
48053,Texas,Burnet,51064,994.8,51.33092078809811
24035,Maryland,Queen Anne's,50951,371.669,137.08703174060793
40083,Oklahoma,Logan,50905,743.736,68.44498585519592
23025,Maine,Somerset,50852,3924.27,12.958333651863914
18029,Indiana,Dearborn,50828,305.087,166.60165788775006
41041,Oregon,Lincoln,50632,980.983,51.61353458724565
47053,Tennessee,Gibson,50610,602.745,83.96585620784909
44001,Rhode Island,Bristol,50568,24.132,2095.4748881153655
37047,North Carolina,Columbus,50453,938.121,53.78090885930493
48277,Texas,Lamar,50421,907.331,55.5706792780143
26123,Michigan,Newaygo,50414,838.887,60.09629425655661
50011,Vermont,Franklin,50379,630.961,79.8448715530754
51089,Virginia,Henry,50365,382.351,131.72451490907568
31019,Nebraska,Buffalo,50323,968.244,51.9734694973581
42121,Pennsylvania,Venango,50096,674.265,74.2971976893358
48013,Texas,Atascosa,50058,1219.542,41.04655682215127
27169,Minnesota,Winona,49705,626.177,79.37851438171634
32005,Nevada,Douglas,49624,710.537,69.84013499648857
13175,Georgia,Laurens,49619,807.336,61.46016032977595
01045,Alabama,Dale,49516,561.113,88.24603956778759
36057,New York,Montgomery,49461,403.111,122.69821463567106
16017,Idaho,Bonner,49456,1733.225,28.534091072999757
08043,Colorado,Fremont,49394,1533.835,32.20294229822634
17095,Illinois,Knox,49294,716.385,68.80936926373388
48071,Texas,Chambers,49178,597.096,82.3619652451197
37061,North Carolina,Duplin,49053,814.72,60.20841516103692
16011,Idaho,Bingham,48993,2093.732,23.399842959843955
17073,Illinois,Henry,48948,823.061,59.47068321789029
18065,Indiana,Henry,48896,391.877,124.77384485438033
37065,North Carolina,Edgecombe,48777,505.436,96.50479981639614
40079,Oklahoma,Le Flore,48728,1589.413,30.657859222241168
21211,Kentucky,Shelby,48599,379.79,127.96282155928276
22101,Louisiana,St. Mary,48455,558.527,86.75498230166133
40019,Oklahoma,Carter,48255,822.301,58.682891058140505
37083,North Carolina,Halifax,48219,723.738,66.62493885908988
04023,Arizona,Santa Cruz,48209,1236.26,38.99584229854561
22061,Louisiana,Lincoln,48160,471.636,102.11264619325073
36107,New York,Tioga,48106,518.767,92.73141892217507
21019,Kentucky,Boyd,48043,159.866,300.5204358650369
39149,Ohio,Shelby,48007,407.694,117.75253008383739
35009,New Mexico,Curry,47932,1405.524,34.10258380504353
27049,Minnesota,Goodhue,47844,756.713,63.22608439395121
22115,Louisiana,Vernon,47764,1326.726,36.00140496229063
12063,Florida,Jackson,47652,918.23,51.895494592858
48465,Texas,Val Verde,47647,3144.75,15.151283885841481
40021,Oklahoma,Cherokee,47621,749.127,63.56866058759063
05035,Arkansas,Crittenden,47609,612.865,77.6826870517977
36039,New York,Greene,47554,647.161,73.48094214577208
42009,Pennsylvania,Bedford,47503,1011.988,46.94027992426788
53065,Washington,Stevens,47470,2477.103,19.163514799344235
18113,Indiana,Noble,47417,410.846,115.41307448533027
40013,Oklahoma,Bryan,47237,904.348,52.233211108997864
48055,Texas,Caldwell,47184,544.541,86.64912283923523
21179,Kentucky,Nelson,47102,418.685,112.49985072309731
36033,New York,Franklin,47066,1629.296,28.887323113786568
47123,Tennessee,Monroe,47054,635.774,74.01057608521268
53075,Washington,Whitman,47042,2159.262,21.78614730403258
36003,New York,Allegany,47027,1029.506,45.679189825022874
56005,Wyoming,Campbell,47018,4802.065,9.791204408936572
48259,Texas,Kendall,46971,662.454,70.90454582506861
13137,Georgia,Habersham,46948,276.867,169.5687821228243
55005,Wisconsin,Barron,46741,863.053,54.15774002291864
17029,Illinois,Coles,46689,508.272,91.85829634526395
36017,New York,Chenango,46685,893.443,52.25291372812815
13029,Georgia,Bryan,46681,437.564,106.68382225228765
27007,Minnesota,Beltrami,46421,2504.643,18.533978694768077
36023,New York,Cortland,46401,498.774,93.03010982930145
19045,Iowa,Clinton,46383,694.959,66.74206679818522
18071,Indiana,Jackson,46319,509.978,90.82548658961758
18099,Indiana,Marshall,46225,443.62,104.19954014697264
39011,Ohio,Auglaize,46209,401.388,115.12302310980897
05055,Arkansas,Greene,46182,577.34,79.99099317559843
55081,Wisconsin,Monroe,46169,900.904,51.24741370889684
39091,Ohio,Logan,46140,458.505,100.63139987568293
48499,Texas,Wood,46094,645.243,71.4366525479548
42087,Pennsylvania,Mifflin,46074,411.037,112.09209876483139
28045,Mississippi,Hancock,46057,473.964,97.17404697403178
06009,California,Calaveras,45995,1020.016,45.09242992266788
42099,Pennsylvania,Perry,45988,551.449,83.3948379632568
40113,Oklahoma,Osage,45963,2246.682,20.45816897985563
50025,Vermont,Windham,45913,785.959,58.416533177939314
13071,Georgia,Colquitt,45907,547.032,83.92013629915617
51540,Virginia,Charlottesville,45863,10.245,4476.622742801367
30081,Montana,Ravalli,45807,2390.967,19.158357267164288
13275,Georgia,Thomas,45696,544.633,83.90237095438579
26059,Michigan,Hillsdale,45658,598.152,76.33176851368883
01021,Alabama,Chilton,45500,692.837,65.67201232035818
55033,Wisconsin,Dunn,45349,850.159,53.341786654025896
55095,Wisconsin,Polk,45327,914.32,49.57454720447983
22117,Louisiana,Washington,45238,669.637,67.5560042231836
21107,Kentucky,Hopkins,45143,542.187,83.26094133573841
27061,Minnesota,Itasca,45141,2667.513,16.922504220223107
18145,Indiana,Shelby,45104,411.136,109.7057907845579
18093,Indiana,Lawrence,45077,449.146,100.36157507803698
29161,Missouri,Phelps,44948,671.787,66.90811224391064
26023,Michigan,Branch,44914,506.411,88.69080647932213
47099,Tennessee,Lawrence,44901,617.13,72.75776578678723
37169,North Carolina,Stokes,44889,449.324,99.90341045659702
53037,Washington,Kittitas,44736,2297.272,19.47353208501214
37111,North Carolina,McDowell,44679,439.954,101.55379880623883
21009,Kentucky,Barren,44670,487.365,91.65615093410483
51171,Virginia,Shenandoah,44630,508.079,87.8406704469187
37013,North Carolina,Beaufort,44597,832.736,53.554788072090076
17117,Illinois,Macoupin,44566,862.974,51.642343801783134
36025,New York,Delaware,44551,1442.596,30.882520123444124
